,l1,w2,Freq,dB
0,1,1,1,-5.884808882
1,2,1,1.013333333,-5.938578051
2,3,1,1.026666667,-5.992187608
3,4,1,1.04,-6.045636474
4,5,1,1.053333333,-6.098924567
5,6,1,1.066666667,-6.152052734
6,7,1,1.08,-6.205022694
7,8,1,1.093333333,-6.25783699
8,9,1,1.106666667,-6.310498936
9,1,2,1.12,-6.363012576
10,2,2,1.133333333,-6.415382642
11,3,2,1.146666667,-6.467614516
12,4,2,1.16,-6.519714197
13,5,2,1.173333333,-6.571688271
14,6,2,1.186666667,-6.62354388
15,7,2,1.2,-6.675288699
16,8,2,1.213333333,-6.726930912
17,9,2,1.226666667,-6.778479193
18,1,3,1.24,-6.829942683
19,2,3,1.253333333,-6.881330981
20,3,3,1.266666667,-6.932654123
21,4,3,1.28,-6.983922574
22,5,3,1.293333333,-7.035147219
23,6,3,1.306666667,-7.086339348
24,7,3,1.32,-7.137510658
25,8,3,1.333333333,-7.18867324
26,9,3,1.346666667,-7.239839583
27,1,4,1.36,-7.291022563
28,2,4,1.373333333,-7.342235455
29,3,4,1.386666667,-7.393491922
30,4,4,1.4,-7.444806025
31,4,4,1.413333333,-7.496192228
32,4,4,1.426666667,-7.547665396
33,4,4,1.44,-7.599240813
34,5,4,1.453333333,-7.650934182
35,6,4,1.466666667,-7.702761637
36,7,4,1.48,-7.754739758
37,8,4,1.493333333,-7.806885582
38,9,4,1.506666667,-7.859216615
39,1,5,1.52,-7.911750853
40,2,5,1.533333333,-7.964506795
41,3,5,1.546666667,-8.017503466
42,4,5,1.56,-8.070760435
43,5,5,1.573333333,-8.124297842
44,6,5,1.586666667,-8.178136417
45,7,5,1.6,-8.232297511
46,8,5,1.613333333,-8.286803123
47,9,5,1.626666667,-8.341675929
48,1,6,1.64,-8.396939317
49,2,6,1.653333333,-8.45261742
50,3,6,1.666666667,-8.508735154
51,4,6,1.68,-8.565318259
52,5,6,1.693333333,-8.622393339
53,6,6,1.706666667,-8.679987907
54,7,6,1.72,-8.738130438
55,8,6,1.733333333,-8.796850414
56,9,6,1.746666667,-8.856178384
57,1,7,1.76,-8.916146016
58,2,7,1.773333333,-8.976786169
59,3,7,1.786666667,-9.038132947
60,4,7,1.8,-9.100221781
61,5,7,1.813333333,-9.163089495
62,6,7,1.826666667,-9.226774394
63,7,7,1.84,-9.291316344
64,8,7,1.853333333,-9.356756864
65,9,7,1.866666667,-9.423139226
66,1,8,1.88,-9.490508558
67,2,8,1.893333333,-9.558911954
68,3,8,1.906666667,-9.628398595
69,4,8,1.92,-9.699019873
70,5,8,1.933333333,-9.770829531
71,6,8,1.946666667,-9.843883807
72,7,8,1.96,-9.918241587
73,8,8,1.973333333,-9.993964579
74,9,8,1.986666667,-10.07111749
75,1,9,2,-10.1497682
76,2,9,2.013333333,-10.22998802
77,3,9,2.026666667,-10.31185185
78,4,9,2.04,-10.39543845
79,5,9,2.053333333,-10.48083073
80,6,9,2.066666667,-10.56811594
81,7,9,2.08,-10.65738607
82,8,9,2.093333333,-10.74873808
83,9,9,2.106666667,-10.84227433
84,1,1,2.12,-10.93810288
85,2,1,2.133333333,-11.03633795
86,3,1,2.146666667,-11.13710032
87,4,1,2.16,-11.24051783
88,5,1,2.173333333,-11.34672587
89,6,1,2.186666667,-11.45586795
90,7,1,2.2,-11.56809627
91,8,1,2.213333333,-11.68357241
92,9,1,2.226666667,-11.80246801
93,1,2,2.24,-11.92496552
94,2,2,2.253333333,-12.05125902
95,3,2,2.266666667,-12.18155515
96,4,2,2.28,-12.31607404
97,5,2,2.293333333,-12.45505034
98,6,2,2.306666667,-12.59873437
99,7,2,2.32,-12.74739331
100,8,2,2.333333333,-12.9013125
101,9,2,2.346666667,-13.06079684
102,1,3,2.36,-13.22617222
103,2,3,2.373333333,-13.39778714
104,3,3,2.386666667,-13.57601426
105,4,3,2.4,-13.76125214
