Freq [THz],"dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='2um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='4um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='6um'","dB(S(1,1)) [] - l1='2um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='4um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='6um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='8um' w1='50um' w2='8um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='2um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='4um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='6um'","dB(S(1,1)) [] - l1='2um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='4um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='6um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='8um' w1='60um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'","dB(S(1,1)) [] - l1='2um' w2='2um'","dB(S(1,1)) [] - l1='4um' w2='2um'","dB(S(1,1)) [] - l1='6um' w2='2um'","dB(S(1,1)) [] - l1='8um' w2='2um'","dB(S(1,1)) [] - l1='2um' w2='4um'","dB(S(1,1)) [] - l1='4um' w2='4um'","dB(S(1,1)) [] - l1='6um' w2='4um'","dB(S(1,1)) [] - l1='8um' w2='4um'","dB(S(1,1)) [] - l1='2um' w2='6um'","dB(S(1,1)) [] - l1='4um' w2='6um'","dB(S(1,1)) [] - l1='6um' w2='6um'","dB(S(1,1)) [] - l1='8um' w2='6um'","dB(S(1,1)) [] - l1='2um' w2='8um'","dB(S(1,1)) [] - l1='4um' w2='8um'","dB(S(1,1)) [] - l1='6um' w2='8um'","dB(S(1,1)) [] - l1='8um' w2='8um'"
1,-5.25746628,-5.266127507,-5.13777325,-5.77714442,-5.152667178,-5.113514027,-5.329847027,-5.110763993,-4.885647672,-5.122679395,-5.233834022,-5.24432802,-5.525964775,-5.032630482,-6.181498181,-5.025666273,-6.059853588,-5.453730942,-5.806900042,-5.635103645,-3.941037079,-5.190713985,-5.406505258,-5.949776689,-5.715768391,-4.670134149,-5.086083277,-4.558311976,-6.020575042,-4.875753484,-6.964884046,-5.114848005,-4.566541729,-5.149029706,-5.320103106,-5.229195767,-5.382735776,-5.147313702,-5.153391323,-5.004003589,-5.330454121,-5.036139415,-5.003637089,-4.991504266,-5.029678378,-4.956511751,-4.990411927,-5.10900616,-30.92943573,-35.05403656,-25.38836284,-14.14155099,-19.20535202,-12.21228607,-23.06527192,-18.16950341,-24.9138357,-19.10926785,-20.194794,-23.07743276,-25.93865355,-10.65296405,-21.75386593,-12.60883178,-29.52606656,-27.67881814,-26.77503435,-23.17492887,-16.63870261,-22.86637599,-28.26468265,-20.19420463,-24.11767644,-18.57604256,-24.98462536,-15.81436597,-28.50636179,-27.98230503,-20.76891299,-28.12405116,-5.207033237,-5.391748893,-5.376450334,-5.274767261,-5.203934704,-5.137485555,-4.937133028,-5.453028535,-5.046100491,-5.505983577,-5.568376275,-5.607874614,-5.072010648,-5.171655173,-5.080698548,-5.034425878,-6.463221488,-5.308831917,-5.336690913,-5.270890873,-5.136676704,-4.851427229,-4.523065528,-5.174015031,-5.028469983,-5.040401652,-3.915225042,-5.298404389,-4.790181514,-4.54890505,-4.913362691,-9.659665408
1.013333333,-5.313131294,-5.329018865,-5.19169722,-5.848499635,-5.219983589,-5.176284259,-5.393112242,-5.174366578,-4.943278159,-5.185061559,-5.292999358,-5.295768502,-5.584594213,-5.092867509,-6.249668585,-5.085201509,-6.115305801,-5.531748942,-5.859734712,-5.687892836,-3.981692011,-5.254270611,-5.4763253,-6.041171035,-5.782631067,-4.731051465,-5.14912231,-4.614528303,-6.092388711,-4.934982988,-9.461437708,-5.189520857,-4.600148365,-5.207530334,-5.391016074,-5.285482572,-5.44834524,-5.203835534,-5.200375364,-5.061852278,-5.391618551,-5.091057325,-5.065874869,-5.048745436,-5.086891004,-5.011479795,-5.050050244,-5.171107918,-30.87379913,-32.85749764,-25.06002939,-15.50509927,-18.85974407,-12.52290399,-22.6033391,-18.17972047,-24.55055994,-19.03410259,-20.19208264,-22.64385564,-25.38892167,-11.22419347,-22.91636163,-11.96675844,-28.78186776,-27.61268451,-26.47118504,-23.0677548,-16.73088955,-23.09795489,-27.92441388,-19.8609042,-23.96251187,-18.59909524,-24.57023211,-16.77269326,-27.22142922,-26.99420224,-20.9806087,-29.58349725,-5.260477142,-5.447438588,-5.436710117,-5.347504441,-5.262509904,-5.196095153,-5.000375924,-5.514080412,-5.108713205,-5.574775487,-5.646121742,-5.68483225,-5.13953566,-5.229628396,-5.147367877,-5.096618896,-6.543435118,-5.367035595,-5.40271511,-5.331403112,-5.198524855,-4.923549006,-4.580262134,-5.23554822,-5.092029346,-5.102360134,-3.975001319,-5.360896704,-4.950543998,-4.613489694,-4.97393559,-9.704225055
1.026666667,-5.369100474,-5.392152367,-5.246440989,-5.920206744,-5.287979081,-5.239266565,-5.456489342,-5.238192742,-5.001289771,-5.247787701,-5.352439515,-5.347421605,-5.643376591,-5.15362958,-6.316826682,-5.14556172,-6.170539542,-5.610438164,-5.912519592,-5.740554963,-4.022140048,-5.318133208,-5.54671308,-6.133214867,-5.849443489,-4.792289774,-5.212088272,-4.671115552,-6.164890567,-4.994420344,-9.502075525,-5.26487583,-4.63509873,-5.266187187,-5.462229348,-5.342092429,-5.514222936,-5.260463409,-5.247734456,-5.119712219,-5.452931718,-5.146486548,-5.128623753,-5.106212797,-5.144393734,-5.067065527,-5.110008178,-5.233575767,-30.34487924,-37.24849867,-25.70521358,-12.87281923,-19.43500402,-12.1995119,-23.57370052,-18.17823419,-25.03056271,-19.19056232,-20.20860606,-23.31756264,-26.37117445,-10.35155956,-21.13719365,-13.1641143,-29.95774217,-27.46456566,-26.90531162,-23.06006436,-16.53785609,-22.52356205,-28.24243607,-20.3561149,-24.17936587,-18.50760888,-25.17730063,-14.75899481,-30.05095172,-29.09487096,-20.57206761,-26.89796368,-5.314292285,-5.503590958,-5.497614679,-5.420621763,-5.321369962,-5.255027411,-5.063978341,-5.574768336,-5.17166982,-5.643726781,-5.724319449,-5.762147147,-5.207493914,-5.287713878,-5.214388986,-5.159105229,-6.624370657,-5.425647251,-5.468970315,-5.391984294,-5.260619983,-4.996329948,-4.637748032,-5.297300064,-5.156044275,-5.164640223,-4.035751436,-5.423529214,-5.108338738,-4.678704447,-5.035302732,-9.748346149
1.04,-5.425373462,-5.455528093,-5.30200695,-5.992249527,-5.356634564,-5.302471925,-5.519998186,-5.302266281,-5.059687579,-5.31087685,-5.412154655,-5.399293961,-5.702305599,-5.214913561,-6.383116732,-5.206741472,-6.225560409,-5.689804257,-5.965245569,-5.79309753,-4.062386512,-5.382319171,-5.617669264,-6.22588468,-5.916217729,-4.853884083,-5.27503611,-4.728089279,-6.23804914,-5.054098909,-9.541592228,-5.340923066,-4.672403154,-5.325015487,-5.533761209,-5.399017523,-5.580370953,-5.317211663,-5.295466854,-5.17761892,-5.514411324,-5.202429068,-5.191878872,-5.163922842,-5.202193821,-5.123272322,-5.170303843,-5.296435816,-30.20326093,-30.9723808,-24.72932374,-16.79595705,-18.39702314,-13.05462803,-22.18442957,-18.2392063,-24.02069059,-18.99130739,-20.21356098,-22.0977199,-25.08995494,-11.94895406,-26.18711278,-11.20923424,-27.86836887,-27.28252097,-26.0465594,-22.6978739,-16.81666312,-23.19018807,-27.30400268,-19.29480837,-23.73979282,-18.58055237,-24.02163711,-17.61481659,-26.14759136,-26.11021692,-21.1931315,-31.36176934,-5.368469588,-5.560197252,-5.55913716,-5.494133707,-5.380513803,-5.314280214,-5.127956727,-5.635125946,-5.234987712,-5.71285848,-5.80298523,-5.839827708,-5.27590843,-5.345924315,-5.281792197,-5.221901115,-6.705988005,-5.484661831,-5.535469623,-5.452647638,-5.322977108,-5.069806886,-4.695547901,-5.359284741,-5.220520296,-5.227258638,-4.097503345,-5.486313047,-5.263215777,-4.744597841,-5.097472661,-9.792040754
1.053333333,-5.481950508,-5.519147062,-5.358397662,-6.064613458,-5.425931837,-5.365912312,-5.583659183,-5.366611317,-5.118477554,-5.374348576,-5.472145887,-5.451393087,-5.761376309,-5.276717031,-6.448669301,-5.268735749,-6.280374669,-5.769852724,-6.01790477,-5.845528542,-4.102437257,-5.446846566,-5.689194676,-6.319156457,-5.982966131,-4.915870205,-5.338021446,-4.785466432,-6.311833362,-5.114051595,-9.579596309,-5.417674973,-4.71311061,-5.384031045,-5.605630497,-5.456251466,-5.646792415,-5.374095413,-5.343571191,-5.235607894,-5.576075266,-5.258887441,-5.255637169,-5.221892696,-5.260300312,-5.180104079,-5.230956097,-5.359714412,-29.33330816,-38.20482363,-26.00002623,-11.97847497,-19.56225812,-12.45313599,-24.13441877,-18.18405512,-24.85639223,-19.25975624,-20.22237242,-23.29747759,-26.49377458,-10.3903133,-20.76750456,-13.65550371,-29.96537828,-27.00633045,-26.821467,-22.77824955,-16.42617847,-22.10285391,-27.85926894,-20.39406641,-24.12302792,-18.39340971,-25.08135157,-13.6723747,-31.87549852,-30.35738604,-20.40619535,-25.84616093,-5.423000968,-5.617249098,-5.621251055,-5.568054914,-5.439941491,-5.373852585,-5.192328516,-5.695185909,-5.298685013,-5.782192279,-5.882135199,-5.917882536,-5.34480276,-5.404273348,-5.349607557,-5.285023604,-6.788247697,-5.544074838,-5.602226654,-5.51340676,-5.385612066,-5.144016529,-4.753687213,-5.421516864,-5.285463796,-5.290232864,-4.160289172,-5.549260158,-5.414850784,-4.811218785,-5.16045682,-9.835321487
1.066666667,-5.538832471,-5.583011247,-5.415615873,-6.137285724,-5.495853617,-5.429600677,-5.64749326,-5.431252279,-5.177666582,-5.438222955,-5.532415295,-5.503727384,-5.820585206,-5.339038314,-6.513601571,-5.331540003,-6.334989218,-5.850588844,-6.070490627,-5.897856479,-4.142298644,-5.511734092,-5.76129027,-6.413005599,-6.049701275,-4.97828477,-5.401100321,-4.843265381,-6.386212622,-5.174310879,-9.616015969,-5.495146088,-4.758092664,-5.443250223,-5.677856596,-5.513789351,-5.713491472,-5.431130525,-5.392046481,-5.293714607,-5.637941618,-5.315864816,-5.319897413,-5.280140088,-5.31872396,-5.237565247,-5.291984516,-5.423438143,-29.15538189,-29.39268344,-24.40387737,-17.95165044,-17.83995153,-13.68571702,-21.80670609,-18.38284719,-23.40553722,-19.01270396,-20.27265774,-21.50875274,-25.16050366,-12.72487452,-21.61301839,-10.29900198,-26.89797522,-26.74870677,-25.55138621,-22.05005903,-16.898232,-23.12830805,-26.51851304,-18.41794449,-23.4732671,-18.52677367,-23.41548359,-18.34734187,-25.24208926,-25.31464184,-21.39643568,-33.56551903,-5.477879353,-5.674738525,-5.683930346,-5.642400147,-5.499654237,-5.433744707,-5.257112107,-5.754979963,-5.362780591,-5.851750477,-5.961785672,-5.996320388,-5.414200971,-5.462775535,-5.417864882,-5.348490526,-6.871111054,-5.603882344,-5.669255519,-5.574275652,-5.448541471,-5.218995493,-4.812192227,-5.48401143,-5.350882063,-5.353581129,-4.224145312,-5.612383294,-5.562947392,-4.878616587,-5.224271289,-9.878201485
1.08,-5.596020825,-5.647123585,-5.473664529,-6.210255241,-5.56638358,-5.493550923,-5.711521853,-5.496213901,-5.237262475,-5.502520526,-5.59296596,-5.556306135,-5.879930209,-5.401876524,-6.578018196,-5.395150206,-6.389411545,-5.932017593,-6.122997947,-5.950090268,-4.181977514,-5.577001046,-5.833957095,-6.507406867,-6.116435946,-5.041165257,-5.464328955,-4.901505938,-6.461156808,-5.234908819,-9.65076831,-5.573352929,-4.807804391,-5.502689893,-5.750459414,-5.571627799,-5.780473296,-5.488333583,-5.440892133,-5.351974419,-5.700028624,-5.37336494,-5.384660214,-5.338683317,-5.377477136,-5.295660833,-5.353409371,-5.487633846,-28.91928396,-22.59760518,-13.68901248,-9.786279208,-19.08301776,-16.04891459,-11.35990161,-9.68007481,-16.711289,-13.15480976,-11.00932477,-10.06691575,-14.73345985,-12.09678501,-10.28495878,-10.26071475,-17.03511399,-31.48530457,-24.24990701,-10.17639021,-19.57955037,-22.53515902,-18.18702397,-11.43355318,-14.81955283,-18.00281763,-14.8291147,-12.15919776,-14.6064688,-16.98225416,-18.18125067,-9.591599779,-5.533098698,-5.732657991,-5.747149646,-5.717184271,-5.559654406,-5.49395794,-5.322326849,-5.81453896,-5.427294017,-5.921555916,-6.041953097,-6.075150127,-5.484127627,-5.521446324,-5.486593795,-5.412320464,-6.954540347,-5.664081015,-5.736570774,-5.635268661,-5.511782696,-5.294780327,-4.87108999,-5.546783786,-5.416783324,-5.41732237,-4.28911251,-5.675695962,-5.707239126,-4.946840962,-5.288940069,-9.920694378
1.093333333,-5.65351766,-5.711487994,-5.532546796,-6.283512661,-5.637506382,-5.557777891,-5.775766881,-5.561521205,-5.297273979,-5.567262257,-5.653801989,-5.609139507,-5.9394107,-5.465231603,-6.6420124,-5.459562901,-6.443649692,-6.014143557,-6.17542296,-6.002239257,-4.221481163,-5.642667287,-5.907196262,-6.602334304,-6.183183111,-5.10455002,-5.527763526,-4.960209391,-6.536636354,-5.295877082,-9.67018662,-5.652313856,-4.862122861,-5.562367406,-5.823459373,-5.629765003,-5.847744073,-5.545721857,-5.490107963,-5.410422532,-5.762354678,-5.431392176,-5.449928036,-5.39754122,-5.436573743,-5.354396424,-5.415251598,-5.552328614,-28.14698915,-36.88806364,-26.26103683,-11.69299667,-19.60537885,-12.86237547,-24.75650995,-18.17383427,-24.407096,-19.30634068,-20.22768185,-22.99588926,-26.24178278,-10.74427794,-20.54845075,-14.1018902,-29.54614417,-26.37361755,-26.51070723,-22.38469422,-16.30167703,-21.63580803,-27.19910294,-20.34374997,-23.93036485,-18.23676237,-24.68576007,-12.68368775,-33.80925721,-31.79853764,-20.28613779,-24.92806568,-5.588653999,-5.791000405,-5.810884349,-5.79242221,-5.619945527,-5.554494832,-5.38799302,-5.873892904,-5.492245544,-5.991631925,-6.122653971,-6.154380681,-5.554607766,-5.580302031,-5.555823767,-5.476532725,-7.038498945,-5.724668116,-5.80418739,-5.696400467,-5.575353841,-5.371407542,-4.93040834,-5.609849587,-5.483176785,-5.481476215,-4.355235957,-5.739212403,-5.847490886,-5.015942058,-5.354501648,-9.962814273
1.106666667,-5.711325689,-5.776109386,-5.592266078,-6.35705038,-5.709207697,-5.622297342,-5.840250741,-5.627199506,-5.357710791,-5.632469512,-5.714928543,-5.662238544,-5.999027538,-5.52910436,-6.70566714,-5.524775248,-6.497712223,-6.096970851,-6.227763368,-6.054313195,-4.26081732,-5.708753202,-5.981008908,-6.697761164,-6.249955888,-5.168478323,-5.591459958,-5.019398532,-6.612622273,-5.357246983,-9.716905471,-5.73204893,-4.920349789,-5.622300552,-5.896877394,-5.68820077,-5.915310995,-5.603313277,-5.539694203,-5.469093933,-5.824938317,-5.489951514,-5.515705207,-5.456733144,-5.496029143,-5.413778204,-5.477532779,-5.617549809,-27.97279923,-28.06226936,-24.08996147,-18.9665998,-17.25002906,-14.32163812,-21.46949555,-18.64217304,-22.76801628,-19.12992043,-20.3809913,-20.92654398,-23.94337192,-13.48777783,-18.29546016,-9.18543285,-25.93851814,-26.08720788,-25.02553814,-21.13273691,-16.97764648,-22.91598335,-25.66682948,-17.13034282,-23.18274425,-18.4456055,-22.80556041,-18.98805274,-24.4720251,-24.59548201,-21.58484787,-36.18741378,-5.644541304,-5.849759152,-5.875110768,-5.868128914,-5.680532294,-5.615359136,-5.454131813,-5.933070997,-5.557656074,-6.06200226,-6.203904778,-6.234020995,-5.625666885,-5.639359812,-5.625584153,-5.541147319,-7.122951474,-5.785641534,-5.872120708,-5.757686065,-5.639273706,-5.448913639,-4.990175911,-5.673224759,-5.550072668,-5.546062951,-4.422565374,-5.802947565,-5.983500001,-5.085970475,-5.421022921,-10.00457572
1.12,-5.769448246,-5.840993683,-5.652826032,-6.43086253,-5.781474241,-5.68712594,-5.904996293,-5.6932744,-5.418583563,-5.698164012,-5.776351856,-5.715615176,-6.058783075,-5.593496518,-6.769056264,-5.590785074,-6.551608192,-6.180503029,-6.280018382,-6.106322208,-4.299994121,-5.775279677,-6.055396158,-6.793659831,-6.316767528,-5.23299038,-5.655473721,-5.07909769,-6.689086193,-5.419049537,-9.74720436,-5.812579772,-4.981385701,-5.682507528,-5.970734892,-5.746936546,-5.983182244,-5.661126405,-5.589651511,-5.528023338,-5.8877982,-5.549048587,-5.58199793,-5.516278916,-5.555860076,-5.47381297,-5.540275112,-5.683325072,-26.94782372,-34.52885565,-26.47570937,-11.97484735,-19.58280227,-13.31645758,-25.45369916,-18.1414565,-23.74896509,-19.32585132,-20.21893799,-22.44829804,-25.68081243,-11.3125095,-20.43354987,-14.51902965,-28.80790862,-25.63969144,-25.99329909,-21.925358,-16.16263133,-21.14831001,-26.37561536,-20.23142076,-23.59402324,-18.04434108,-24.0420922,-11.96547472,-35.02420688,-33.43849123,-20.2214754,-24.11519702,-5.700757715,-5.908928118,-5.939806284,-5.944319322,-5.741420567,-5.676555815,-5.520765316,-5.992101673,-5.623547142,-6.132691045,-6.285721911,-6.314079992,-5.697330913,-5.698637646,-5.695904237,-5.606184927,-7.207863964,-5.846999789,-5.940386407,-5.819140742,-5.703561772,-5.527335133,-5.050422142,-5.736925463,-5.617482254,-5.611103506,-4.491155105,-5.866917069,-6.115096816,-5.156977293,-5.48863068,-10.04599371
